Alias;Place;Link;Code
PORTO VELHO;PORTO VELHO;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1101?formato=application/vnd.geo+json&qualidade=maxima;1101
JI-PARANA;JI-PARANA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1102?formato=application/vnd.geo+json&qualidade=maxima;1102
RIO BRANCO;RIO BRANCO;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1201?formato=application/vnd.geo+json&qualidade=maxima;1201
CRUZEIRO DO SUL;CRUZEIRO DO SUL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1202?formato=application/vnd.geo+json&qualidade=maxima;1202
MANAUS;MANAUS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1301?formato=application/vnd.geo+json&qualidade=maxima;1301
TEFE;TEFE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1302?formato=application/vnd.geo+json&qualidade=maxima;1302
LABREA;LABREA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1303?formato=application/vnd.geo+json&qualidade=maxima;1303
PARINTINS;PARINTINS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1304?formato=application/vnd.geo+json&qualidade=maxima;1304
BOA VISTA;BOA VISTA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1401?formato=application/vnd.geo+json&qualidade=maxima;1401
RORAINOPOLIS - CARACARAI;RORAINOPOLIS - CARACARAI;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1402?formato=application/vnd.geo+json&qualidade=maxima;1402
BELEM;BELEM;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1501?formato=application/vnd.geo+json&qualidade=maxima;1501
CASTANHAL;CASTANHAL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1502?formato=application/vnd.geo+json&qualidade=maxima;1502
MARABA;MARABA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1503?formato=application/vnd.geo+json&qualidade=maxima;1503
REDENCAO;REDENCAO;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1504?formato=application/vnd.geo+json&qualidade=maxima;1504
SANTAREM;SANTAREM;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1505?formato=application/vnd.geo+json&qualidade=maxima;1505
ALTAMIRA;ALTAMIRA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1506?formato=application/vnd.geo+json&qualidade=maxima;1506
BREVES;BREVES;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1507?formato=application/vnd.geo+json&qualidade=maxima;1507
MACAPA;MACAPA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1601?formato=application/vnd.geo+json&qualidade=maxima;1601
OIAPOQUE - PORTO GRANDE;OIAPOQUE - PORTO GRANDE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1602?formato=application/vnd.geo+json&qualidade=maxima;1602
PALMAS;PALMAS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1701?formato=application/vnd.geo+json&qualidade=maxima;1701
ARAGUAINA;ARAGUAINA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1702?formato=application/vnd.geo+json&qualidade=maxima;1702
GURUPI;GURUPI;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/1703?formato=application/vnd.geo+json&qualidade=maxima;1703
SAO LUIS;SAO LUIS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2101?formato=application/vnd.geo+json&qualidade=maxima;2101
SANTA INES - BACABAL;SANTA INES - BACABAL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2102?formato=application/vnd.geo+json&qualidade=maxima;2102
CAXIAS;CAXIAS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2103?formato=application/vnd.geo+json&qualidade=maxima;2103
PRESIDENTE DUTRA;PRESIDENTE DUTRA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2104?formato=application/vnd.geo+json&qualidade=maxima;2104
IMPERATRIZ;IMPERATRIZ;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2105?formato=application/vnd.geo+json&qualidade=maxima;2105
TERESINA;TERESINA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2201?formato=application/vnd.geo+json&qualidade=maxima;2201
PARNAIBA;PARNAIBA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2202?formato=application/vnd.geo+json&qualidade=maxima;2202
PICOS;PICOS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2203?formato=application/vnd.geo+json&qualidade=maxima;2203
SAO RAIMUNDO NONATO;SAO RAIMUNDO NONATO;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2204?formato=application/vnd.geo+json&qualidade=maxima;2204
CORRENTE - BOM JESUS;CORRENTE - BOM JESUS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2205?formato=application/vnd.geo+json&qualidade=maxima;2205
FLORIANO;FLORIANO;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2206?formato=application/vnd.geo+json&qualidade=maxima;2206
FORTALEZA;FORTALEZA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2301?formato=application/vnd.geo+json&qualidade=maxima;2301
QUIXADA;QUIXADA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2302?formato=application/vnd.geo+json&qualidade=maxima;2302
IGUATU;IGUATU;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2303?formato=application/vnd.geo+json&qualidade=maxima;2303
JUAZEIRO DO NORTE;JUAZEIRO DO NORTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2304?formato=application/vnd.geo+json&qualidade=maxima;2304
CRATEUS;CRATEUS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2305?formato=application/vnd.geo+json&qualidade=maxima;2305
SOBRAL;SOBRAL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2306?formato=application/vnd.geo+json&qualidade=maxima;2306
NATAL;NATAL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2401?formato=application/vnd.geo+json&qualidade=maxima;2401
CAICO;CAICO;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2402?formato=application/vnd.geo+json&qualidade=maxima;2402
MOSSORO;MOSSORO;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2403?formato=application/vnd.geo+json&qualidade=maxima;2403
JOAO PESSOA;JOAO PESSOA;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2501?formato=application/vnd.geo+json&qualidade=maxima;2501
CAMPINA GRANDE;CAMPINA GRANDE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2502?formato=application/vnd.geo+json&qualidade=maxima;2502
PATOS;PATOS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2503?formato=application/vnd.geo+json&qualidade=maxima;2503
SOUSA - CAJAZEIRAS;SOUSA - CAJAZEIRAS;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2504?formato=application/vnd.geo+json&qualidade=maxima;2504
RECIFE;RECIFE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2601?formato=application/vnd.geo+json&qualidade=maxima;2601
CARUARU;CARUARU;https://servicodados.ibge.gov.br/api/v3/malhas/regioes-intermediarias/2602?formato=application/vnd.geo+json&qualidade=maxima;2602
