Alias;Place;Link;Code
norte;NORTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/1?formato=application/vnd.geo+json&qualidade=maxima;1
Norte;NORTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/1?formato=application/vnd.geo+json&qualidade=maxima;1
NORTE;NORTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/1?formato=application/vnd.geo+json&qualidade=maxima;1
nordeste;NORDESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/2?formato=application/vnd.geo+json&qualidade=maxima;2
Nordeste;NORDESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/2?formato=application/vnd.geo+json&qualidade=maxima;2
NORDESTE;NORDESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/2?formato=application/vnd.geo+json&qualidade=maxima;2
sul;SUL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/4?formato=application/vnd.geo+json&qualidade=maxima;4
Sul;SUL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/4?formato=application/vnd.geo+json&qualidade=maxima;4
SUL;SUL;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/4?formato=application/vnd.geo+json&qualidade=maxima;4
sudeste;SUDESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/3?formato=application/vnd.geo+json&qualidade=maxima;3
Sudeste;SUDESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/3?formato=application/vnd.geo+json&qualidade=maxima;3
SUDESTE;SUDESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/3?formato=application/vnd.geo+json&qualidade=maxima;3
centro-oeste;CENTRO-OESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/5?formato=application/vnd.geo+json&qualidade=maxima;5
Centro-oeste;CENTRO-OESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/5?formato=application/vnd.geo+json&qualidade=maxima;5
CENTRO-OESTE;CENTRO-OESTE;https://servicodados.ibge.gov.br/api/v3/malhas/regioes/5?formato=application/vnd.geo+json&qualidade=maxima;5
