Alias;Place;Link;Code
ADAMANTINA;ADAMANTINA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/35035?formato=application/vnd.geo+json&qualidade=maxima;35035
AFONSO CLAUDIO;AFONSO CLAUDIO;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/32007?formato=application/vnd.geo+json&qualidade=maxima;32007
AGLOMERACAO URBANA DE SAO LUIS;AGLOMERACAO URBANA DE SAO LUIS;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/21002?formato=application/vnd.geo+json&qualidade=maxima;21002
AGRESTE DE ITABAIANA;AGRESTE DE ITABAIANA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/28004?formato=application/vnd.geo+json&qualidade=maxima;28004
AGRESTE DE LAGARTO;AGRESTE DE LAGARTO;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/28006?formato=application/vnd.geo+json&qualidade=maxima;28006
AGRESTE POTIGUAR;AGRESTE POTIGUAR;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/24015?formato=application/vnd.geo+json&qualidade=maxima;24015
AIMORES;AIMORES;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/31041?formato=application/vnd.geo+json&qualidade=maxima;31041
ALAGOANA DO SERTAO DO SAO FRANCISCO;ALAGOANA DO SERTAO DO SAO FRANCISCO;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/27002?formato=application/vnd.geo+json&qualidade=maxima;27002
ALAGOINHAS;ALAGOINHAS;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/29017?formato=application/vnd.geo+json&qualidade=maxima;29017
ALEGRE;ALEGRE;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/32011?formato=application/vnd.geo+json&qualidade=maxima;32011
ALFENAS;ALFENAS;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/31049?formato=application/vnd.geo+json&qualidade=maxima;31049
ALMEIRIM;ALMEIRIM;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/15003?formato=application/vnd.geo+json&qualidade=maxima;15003
ALMENARA;ALMENARA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/31014?formato=application/vnd.geo+json&qualidade=maxima;31014
ALTA FLORESTA;ALTA FLORESTA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/51002?formato=application/vnd.geo+json&qualidade=maxima;51002
ALTAMIRA;ALTAMIRA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/15015?formato=application/vnd.geo+json&qualidade=maxima;15015
ALTO ARAGUAIA;ALTO ARAGUAIA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/51022?formato=application/vnd.geo+json&qualidade=maxima;51022
ALTO CAPIBARIBE;ALTO CAPIBARIBE;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/26009?formato=application/vnd.geo+json&qualidade=maxima;26009
ALTO GUAPORE;ALTO GUAPORE;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/51012?formato=application/vnd.geo+json&qualidade=maxima;51012
ALTO MEARIM E GRAJAU;ALTO MEARIM E GRAJAU;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/21011?formato=application/vnd.geo+json&qualidade=maxima;21011
ALTO MEDIO CANINDE;ALTO MEDIO CANINDE;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/22015?formato=application/vnd.geo+json&qualidade=maxima;22015
ALTO MEDIO GURGUEIA;ALTO MEDIO GURGUEIA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/22010?formato=application/vnd.geo+json&qualidade=maxima;22010
ALTO PANTANAL;ALTO PANTANAL;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/51018?formato=application/vnd.geo+json&qualidade=maxima;51018
ALTO PARAGUAI;ALTO PARAGUAI;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/51015?formato=application/vnd.geo+json&qualidade=maxima;51015
ALTO PARNAIBA PIAUIENSE;ALTO PARNAIBA PIAUIENSE;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/22007?formato=application/vnd.geo+json&qualidade=maxima;22007
ALTO SOLIMOES;ALTO SOLIMOES;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/13003?formato=application/vnd.geo+json&qualidade=maxima;13003
ALTO TAQUARI;ALTO TAQUARI;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/50003?formato=application/vnd.geo+json&qualidade=maxima;50003
ALTO TELES PIRES;ALTO TELES PIRES;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/51006?formato=application/vnd.geo+json&qualidade=maxima;51006
ALVORADA D'OESTE;ALVORADA D'OESTE;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/11005?formato=application/vnd.geo+json&qualidade=maxima;11005
AMAPA;AMAPA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/16002?formato=application/vnd.geo+json&qualidade=maxima;16002
AMPARO;AMPARO;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/35033?formato=application/vnd.geo+json&qualidade=maxima;35033
ANAPOLIS;ANAPOLIS;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/52007?formato=application/vnd.geo+json&qualidade=maxima;52007
ANDRADINA;ANDRADINA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/35016?formato=application/vnd.geo+json&qualidade=maxima;35016
ANDRELANDIA;ANDRELANDIA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/31055?formato=application/vnd.geo+json&qualidade=maxima;31055
ANGICOS;ANGICOS;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/24009?formato=application/vnd.geo+json&qualidade=maxima;24009
ANICUNS;ANICUNS;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/52009?formato=application/vnd.geo+json&qualidade=maxima;52009
APUCARANA;APUCARANA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/41010?formato=application/vnd.geo+json&qualidade=maxima;41010
AQUIDAUANA;AQUIDAUANA;https://servicodados.ibge.gov.br/api/v3/malhas/microrregioes/50002?formato=application/vnd.geo+json&qualidade=maxima;50002
