AGUA BOA,AGUA BOA(MT),AGUA BOA(MG),,,
AGUA BRANCA,AGUA BRANCA(PI),AGUA BRANCA(PB),AGUA BRANCA(AL),,
ALAGOINHA,ALAGOINHA(PB),ALAGOINHA(PE),,,
ALTO ALEGRE,ALTO ALEGRE(RR),ALTO ALEGRE(SP),ALTO ALEGRE(RS),,
ALTO PARAISO,ALTO PARAISO(RO),ALTO PARAISO(PR),,,
ALVORADA,ALVORADA(TO),ALVORADA(RS),,,
AMPARO,AMPARO(PB),AMPARO(SP),,,
ANCHIETA,ANCHIETA(ES),ANCHIETA(SC),,,
ANTONIO CARLOS,ANTONIO CARLOS(MG),ANTONIO CARLOS(SC),,,
APARECIDA,APARECIDA(PB),APARECIDA(SP),,,
ARACOIABA,ARACOIABA(CE),ARACOIABA(PE),,,
ARAGUANA,ARAGUANA(TO),ARAGUANA(MA),,,
ARAPUA,ARAPUA(MG),ARAPUA(PR),,,
ARARUNA,ARARUNA(PB),ARARUNA(PR),,,
AREIA BRANCA,AREIA BRANCA(RN),AREIA BRANCA(SE),,,
ATALAIA,ATALAIA(AL),ATALAIA(PR),,,
AURORA,AURORA(CE),AURORA(SC),,,
BANDEIRANTES,BANDEIRANTES(PR),BANDEIRANTES(MS),,,
BARAUNA,BARAUNA(RN),BARAUNA(PB),,,
BARRA BONITA,BARRA BONITA(SP),BARRA BONITA(SC),,,
BARRA DE SAO MIGUEL,BARRA DE SAO MIGUEL(PB),BARRA DE SAO MIGUEL(AL),,,
BARRACAO,BARRACAO(PR),BARRACAO(RS),,,
BARRO ALTO,BARRO ALTO(BA),BARRO ALTO(GO),,,
BATALHA,BATALHA(PI),BATALHA(AL),,,
BELEM,BELEM(PA),BELEM(PB),BELEM(AL),,
BELMONTE,BELMONTE(BA),BELMONTE(SC),,,
BOA ESPERANCA,BOA ESPERANCA(MG),BOA ESPERANCA(ES),BOA ESPERANCA(PR),,
BOA VISTA,BOA VISTA(RR),BOA VISTA(PB),,,
BOCAINA,BOCAINA(PI),BOCAINA(SP),,,
BOM JARDIM,BOM JARDIM(MA),BOM JARDIM(PE),BOM JARDIM(RJ),,
BOM JESUS,BOM JESUS(PI),BOM JESUS(RN),BOM JESUS(PB),BOM JESUS(SC),BOM JESUS(RS)
BOM JESUS DO TOCANTINS,BOM JESUS DO TOCANTINS(PA),BOM JESUS DO TOCANTINS(TO),,,
BOM SUCESSO,BOM SUCESSO(PB),BOM SUCESSO(MG),BOM SUCESSO(PR),,
BONFIM,BONFIM(RR),BONFIM(MG),,,
BONITO,BONITO(PA),BONITO(PE),BONITO(BA),BONITO(MS),
BORBOREMA,BORBOREMA(PB),BORBOREMA(SP),,,
BREJINHO,BREJINHO(RN),BREJINHO(PE),,,
BURITIS,BURITIS(RO),BURITIS(MG),,,
CACHOEIRA DOURADA,CACHOEIRA DOURADA(MG),CACHOEIRA DOURADA(GO),,,
CACHOEIRINHA,CACHOEIRINHA(TO),CACHOEIRINHA(PE),CACHOEIRINHA(RS),,
CAFELANDIA,CAFELANDIA(SP),CAFELANDIA(PR),,,
CAICARA,CAICARA(PB),CAICARA(RS),,,
CAMPESTRE,CAMPESTRE(AL),CAMPESTRE(MG),,,
CAMPO ALEGRE,CAMPO ALEGRE(AL),CAMPO ALEGRE(SC),,,
CAMPO GRANDE,CAMPO GRANDE(RN),CAMPO GRANDE(AL),CAMPO GRANDE(MS),,
CANAPOLIS,CANAPOLIS(BA),CANAPOLIS(MG),,,
CANARANA,CANARANA(BA),CANARANA(MT),,,
CANDEIAS,CANDEIAS(BA),CANDEIAS(MG),,,
CANTAGALO,CANTAGALO(MG),CANTAGALO(RJ),CANTAGALO(PR),,
CAPANEMA,CAPANEMA(PA),CAPANEMA(PR),,,
CAPELA,CAPELA(AL),CAPELA(SE),,,
CARACOL,CARACOL(PI),CARACOL(MS),,,
CARAUBAS,CARAUBAS(RN),CARAUBAS(PB),,,
CASCAVEL,CASCAVEL(CE),CASCAVEL(PR),,,
CATANDUVAS,CATANDUVAS(PR),CATANDUVAS(SC),,,
CEDRAL,CEDRAL(MA),CEDRAL(SP),,,
CEDRO,CEDRO(CE),CEDRO(PE),,,
CENTENARIO,CENTENARIO(TO),CENTENARIO(RS),,,
COLINAS,COLINAS(MA),COLINAS(RS),,,
COLORADO,COLORADO(PR),COLORADO(RS),,,
CONDADO,CONDADO(PB),CONDADO(PE),,,
CONDE,CONDE(PB),CONDE(BA),,,
CRUZEIRO DO SUL,CRUZEIRO DO SUL(AC),CRUZEIRO DO SUL(PR),,,
DAVINOPOLIS,DAVINOPOLIS(MA),DAVINOPOLIS(GO),,,
DOURADINA,DOURADINA(PR),DOURADINA(MS),,,
ELDORADO,ELDORADO(SP),ELDORADO(MS),,,
ENTRE RIOS,ENTRE RIOS(BA),ENTRE RIOS(SC),,,
ESPERANTINA,ESPERANTINA(TO),ESPERANTINA(PI),,,
ESTRELA DO NORTE,ESTRELA DO NORTE(SP),ESTRELA DO NORTE(GO),,,
FATIMA,FATIMA(TO),FATIMA(BA),,,
FEIRA NOVA,FEIRA NOVA(PE),FEIRA NOVA(SE),,,
FILADELFIA,FILADELFIA(TO),FILADELFIA(BA),,,
FLORESTA,FLORESTA(PE),FLORESTA(PR),,,
FORMOSO,FORMOSO(MG),FORMOSO(GO),,,
GENERAL CARNEIRO,GENERAL CARNEIRO(PR),GENERAL CARNEIRO(MT),,,
GOIANA,GOIANA(PE),GOIANA(MG),,,
GUAIRA,GUAIRA(SP),GUAIRA(PR),,,
GUARACI,GUARACI(SP),GUARACI(PR),,,
GUARACIABA,GUARACIABA(MG),GUARACIABA(SC),,,
HIDROLANDIA,HIDROLANDIA(CE),HIDROLANDIA(GO),,,
HUMAITA,HUMAITA(AM),HUMAITA(RS),,,
IGUATU,IGUATU(CE),IGUATU(PR),,,
INAJA,INAJA(PE),INAJA(PR),,,
INDEPENDENCIA,INDEPENDENCIA(CE),INDEPENDENCIA(RS),,,
INDIANOPOLIS,INDIANOPOLIS(MG),INDIANOPOLIS(PR),,,
IPIRA,IPIRA(BA),IPIRA(SC),,,
IPORA,IPORA(PR),IPORA(GO),,,
IPUEIRAS,IPUEIRAS(TO),IPUEIRAS(CE),,,
IRACEMA,IRACEMA(RR),IRACEMA(CE),,,
IRATI,IRATI(PR),IRATI(SC),,,
ITABAIANA,ITABAIANA(PB),ITABAIANA(SE),,,
ITAJA,ITAJA(RN),ITAJA(GO),,,
ITAMBE,ITAMBE(PE),ITAMBE(BA),ITAMBE(PR),,
ITAPEVA,ITAPEVA(MG),ITAPEVA(SP),,,
ITAPIRANGA,ITAPIRANGA(AM),ITAPIRANGA(SC),,,
ITAPORANGA,ITAPORANGA(PB),ITAPORANGA(SP),,,
JABORANDI,JABORANDI(BA),JABORANDI(SP),,,
JACUTINGA,JACUTINGA(MG),JACUTINGA(RS),,,
JANDAIRA,JANDAIRA(RN),JANDAIRA(BA),,,
JAPURA,JAPURA(AM),JAPURA(PR),,,
JARDIM,JARDIM(CE),JARDIM(MS),,,
JARDINOPOLIS,JARDINOPOLIS(SP),JARDINOPOLIS(SC),,,
JATOBA,JATOBA(MA),JATOBA(PE),,,
JUNDIA,JUNDIA(RN),JUNDIA(AL),,,
JUREMA,JUREMA(PI),JUREMA(PE),,,
JUSSARA,JUSSARA(BA),JUSSARA(PR),JUSSARA(GO),,
LAGOA GRANDE,LAGOA GRANDE(PE),LAGOA GRANDE(MG),,,
LAGOA SANTA,LAGOA SANTA(MG),LAGOA SANTA(GO),,,
LAJEADO,LAJEADO(TO),LAJEADO(RS),,,
LARANJAL,LARANJAL(MG),LARANJAL(PR),,,
MARAU,MARAU(BA),MARAU(RS),,,
MARAVILHA,MARAVILHA(AL),MARAVILHA(SC),,,
MASSARANDUBA,MASSARANDUBA(PB),MASSARANDUBA(SC),,,
MESQUITA,MESQUITA(MG),MESQUITA(RJ),,,
MILAGRES,MILAGRES(CE),MILAGRES(BA),,,
MIRADOR,MIRADOR(MA),MIRADOR(PR),,,
MONTE ALEGRE,MONTE ALEGRE(PA),MONTE ALEGRE(RN),,,
MONTE CASTELO,MONTE CASTELO(SP),MONTE CASTELO(SC),,,
MORRINHOS,MORRINHOS(CE),MORRINHOS(GO),,,
MULUNGU,MULUNGU(CE),MULUNGU(PB),,,
MUNDO NOVO,MUNDO NOVO(BA),MUNDO NOVO(MS),MUNDO NOVO(GO),,
NATIVIDADE,NATIVIDADE(TO),NATIVIDADE(RJ),,,
NAZARE,NAZARE(TO),NAZARE(BA),,,
NOVA AURORA,NOVA AURORA(PR),NOVA AURORA(GO),,,
NOVA FATIMA,NOVA FATIMA(BA),NOVA FATIMA(PR),,,
NOVA OLIMPIA,NOVA OLIMPIA(PR),NOVA OLIMPIA(MT),,,
NOVA OLINDA,NOVA OLINDA(TO),NOVA OLINDA(CE),NOVA OLINDA(PB),,
NOVA SANTA RITA,NOVA SANTA RITA(PI),NOVA SANTA RITA(RS),,,
NOVA UNIAO,NOVA UNIAO(RO),NOVA UNIAO(MG),,,
NOVA VENEZA,NOVA VENEZA(SC),NOVA VENEZA(GO),,,
NOVO HORIZONTE,NOVO HORIZONTE(BA),NOVO HORIZONTE(SP),NOVO HORIZONTE(SC),,
NOVO SANTO ANTONIO,NOVO SANTO ANTONIO(PI),NOVO SANTO ANTONIO(MT),,,
OURO BRANCO,OURO BRANCO(RN),OURO BRANCO(AL),OURO BRANCO(MG),,
OURO VERDE,OURO VERDE(SP),OURO VERDE(SC),,,
PACATUBA,PACATUBA(CE),PACATUBA(SE),,,
PALESTINA,PALESTINA(AL),PALESTINA(SP),,,
PALMAS,PALMAS(TO),PALMAS(PR),,,
