Alias;Place;Link;Code
ABADIA DE GOIAS;ABADIA DE GOIAS;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5200050?formato=application/vnd.geo+json&qualidade=maxima;5200050
ABADIA DOS DOURADOS;ABADIA DOS DOURADOS;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/3100104?formato=application/vnd.geo+json&qualidade=maxima;3100104
ABADIANIA;ABADIANIA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5200100?formato=application/vnd.geo+json&qualidade=maxima;5200100
ABAETE;ABAETE;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/3100203?formato=application/vnd.geo+json&qualidade=maxima;3100203
ABAETETUBA;ABAETETUBA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/1500107?formato=application/vnd.geo+json&qualidade=maxima;1500107
ABAIARA;ABAIARA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/2300101?formato=application/vnd.geo+json&qualidade=maxima;2300101
ABAIRA;ABAIRA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/2900108?formato=application/vnd.geo+json&qualidade=maxima;2900108
ABARE;ABARE;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/2900207?formato=application/vnd.geo+json&qualidade=maxima;2900207
ABATIA;ABATIA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/4100103?formato=application/vnd.geo+json&qualidade=maxima;4100103
ABDON BATISTA;ABDON BATISTA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/4200051?formato=application/vnd.geo+json&qualidade=maxima;4200051
ABEL FIGUEIREDO;ABEL FIGUEIREDO;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/1500131?formato=application/vnd.geo+json&qualidade=maxima;1500131
ABELARDO LUZ;ABELARDO LUZ;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/4200101?formato=application/vnd.geo+json&qualidade=maxima;4200101
ABRE CAMPO;ABRE CAMPO;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/3100302?formato=application/vnd.geo+json&qualidade=maxima;3100302
ABREU E LIMA;ABREU E LIMA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/2600054?formato=application/vnd.geo+json&qualidade=maxima;2600054
ABREULANDIA;ABREULANDIA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/1700251?formato=application/vnd.geo+json&qualidade=maxima;1700251
ACAIACA;ACAIACA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/3100401?formato=application/vnd.geo+json&qualidade=maxima;3100401
ACAILANDIA;ACAILANDIA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/2100055?formato=application/vnd.geo+json&qualidade=maxima;2100055
ACAJUTIBA;ACAJUTIBA;https://servicodados.ibge.gov.br/api/v3/malhas/municipios/2900306?formato=application/vnd.geo+json&qualidade=maxima;2900306
